DATES,SENDER,ARTICLE CONTENT
[\nJul 24\n],Wilfred Zahaa 🇺🇬,[So Bobi Wine has today officially declared he is coming for the Presidential seat come 2021. Do you think he is too early or it's the right time??]
[\nJul 24\n],BOBI WINE,"[BOBI WINE Retweeted Mugisha Muntu, Thank you Comrade Gen. @mugishamuntu. Always humbled to see you, and indeed the entire leadership of ANT, put #CountryBeforeSelf - not just in words but in action too. May your example continue to inspire all forces of change to subject all other interests to national interest.https://twitter.com/mugishamuntu/status/1154048631466426370\xa0\u2026, BOBI WINE added,]"
[\nJul 24\n],The Observer,[#BobiWine's press conference to officially announce his 2021 presidential bid was laced with music interludes #Uganda @bamulanzekipic.twitter.com/RLuL1Nzbz2]
[\nJul 24\n],BOBI WINE,"[BOBI WINE Retweeted Kifefe Kizza-Besigye, Thank you very much Dr. @kizzabesigye1. As I said in my speech today, few people have inspired our nation to fight for democracy, peace, justice and human rights like you have. We look forward to building more synergies as we confront the common enemy together. Aluta continua!https://twitter.com/kizzabesigye1/status/1154088970168479746\xa0\u2026, BOBI WINE added,]"
[\n19h19 hours ago\n],BOBI WINE,"[BOBI WINE Retweeted Norbert Mao, Yes comrade @norbertmao! Thank you for reasserting this message of Unity because A PEOPLE UNITED CAN NEVER BE DEFEATED. It also says in Mark 3:25 that a house divided against itself cannot stand. When we all speak with one voice, the dictatorship will be in deep trouble.https://twitter.com/norbertmao/status/1154293761456955392\xa0\u2026, BOBI WINE added,]"
[\nJul 24\n],Campus Bee,[Bobi Wine Beats M7 By a Landslide in UCU Online Voting Demo via @CampusBeeUghttps://campusbee.ug/news/bobi-wine-beats-m7-by-a-landslide-in-ucu-online-voting-demo/\xa0\u2026]
[\nJul 24\n],kenny mackenzie,[BBC News - Ugandan pop star Bobi Wine to run against Yoweri Museveni https://www.bbc.co.uk/news/world-africa-49095214\xa0\u2026 GIGA. To be in Prayer. God Is Good Africa.]
[\n16h16 hours ago\n],ssebunya shafique,[Bobi wine will never be Uganda's president]
[\nJul 24\n],IntelPost,[It's time to prove that we mean business - Bobi Wine - IntelPost https://intelpostug.com/2019/07/24/its-time-to-prove-that-we-mean-business-bobi-wine/\xa0\u2026]
[\n16h16 hours ago\n],NBS Television,"[Full Figure cries foul over Bobi Wine's appointments. ""Bobi's novice antics can't defeat Museveni"", the outspoken artiste said. #NBSUncut #NBSUpdatespic.twitter.com/vrkNUP6IMb]"
[\nJul 22\n],BigEyeUG,[Bobi Wine happy as fellow musician Navio formalizes marital\xa0status https://bigeye.ug/bobi-wine-happy-as-fellow-musician-navio-formalizes-marital-status/\xa0\u2026pic.twitter.com/BPTmJeqTYx]
[\nJul 22\n],John K. Wasikye  🇺🇬,"[A year ago,these were my thoughts about Bobi Wine,as it is now, he is Uganda's opposition ""alternative"". In a space of a year,he has attracted almost all the international media and community giving him a lot of mileage in the process. @HEBobiwine @DuxWabuyi @JoelSsenyonyipic.twitter.com/ullJuELEJj]"
[\nJul 24\n],Omuyayi,[Who will replace Bobi Wine as Kyadondo East MP  Do I have to be #PeoplePower to win there ]
[\nJul 24\n],ssebunya shafique,[We don't have any pressing issues in Uganda. We're happy with our leader Museveni. We are not ready to welcome your puppet Bobi wine]
[\n20h20 hours ago\n],Echodu is Ragnar,[Bobi Wine challenging Museveni to a free and fair election is very funny]
[\nJul 24\n],Nuwagaba Molly,[Bobi Wine is the incoming president of Uganda ready to unseat Gen Museveni the out going president we pray God to guide and protect Bobi Wine .#Mission2021]
[\n17h17 hours ago\n],Sir Arthur,[People on Bobi Wine\u2019s list are on TVs &amp; radios saying they were not consulted or they\u2019ve decided to betray him because of political pressure? I\u2019m afraid by 2021 even Joel Ssenyonyi will be disappearing calming he wasn\u2019t given prior notice before appointment to People Power.]
[\nJul 18\n],John Kennedy Muttu,"[As a voting youth in Uganda, am certain Bobi wine will win the elections if only they can be free and fair]"
[\n15h15 hours ago\n],NBS Television,"[During the ceremony, Dr Besigye congratulated People Power's Robert Kyagulanyi aka Bobi Wine who has since announced presidential ambitions ahead of 2021. #NBSLiveAt9 #NBSUpdates]"
[\nJul 25\n],Ořdiņarý Ğuý  🕊,[Let's be honest Bobi wine will not be is the next president of Uganda pic.twitter.com/FT4nXbuuWX]
[\n11h11 hours ago\n],X-XONE LTD,[Why Bobi wine won't appear on ballot with Museveni. - The Peoples Agency - T.P.A https://www.thepeoplesagency.org/853-2/\xa0]
[\n16h16 hours ago\n],NBS Television,"[ON AIR: #NBSUncut. Tonight's top stories are, Zari jets in for Miss Uganda grand finale happening tomorrow at Sheraton hotel. Full Figure cries foul over Bobi Wine appointments. Exclusive interview with Miss World Vanessa Ponce de Leon. Tune in. #NBSUpdatespic.twitter.com/XfWWXTZEiP]"
[\nJul 25\n],Muwanguzi Atah,[Tell your house boy canary mugume to remove his mouth on Bobiwine]
[\nJul 24\n],The Observer,"[Controversy as #BobiWine announces 2021 presidential bid. Karamoja coordinator distances himself from #PeoplePower, saying he wasn't consulted. ""It's surely a presumption by the People Power that whoever voted against the age limit is for them"" https://observer.ug/news/headlines/61442-bobi-wine-announces-presidential-bid\xa0\u2026 #Ugandapic.twitter.com/O89FNjWpxb]"
[\nJul 24\n],X-XONE LTD,"[Why Dr Stella Nyanzi in prison, Bobi Wine\u2019s Lawyer Armsterdam Wanted Dead - The Peoples Agency - T.P.A https://www.thepeoplesagency.org/why-dr-stella-nyanzi-in-prison-bobi-wines-lawyer-on-kill-list/\xa0\u2026]"
[\nJul 24\n],Nuwagaba Molly,"[Nuwagaba Molly Retweeted BBC News Africa, #BobiWine is the incoming president of Uganda ready to unseat the current one by names of #GenYoweriMuseveni who has led Uganda for over 34yearshttps://twitter.com/BBCAfrica/status/1154007830086766593\xa0\u2026, Nuwagaba Molly added,]"
[\nJul 24\n],Nuwagaba Molly,[God bless Bobi Wine for he has opened many eyes of Ugandans especially the youths]
[\nJul 24\n],ssebunya shafique,"[ssebunya shafique Retweeted Grapevine Uganda, This is a clear indication and evidence that Bobi wine has no supporters. Let him wait for his 1% in 2021 https://twitter.com/grapevineug/status/1154042803153858560\xa0\u2026, ssebunya shafique added,]"
[\nJul 24\n],ssebunya shafique,"[ssebunya shafique Retweeted ChimpReports, President Museveni has no time for Bobi wine. He is busy with the wealth creation tours. https://twitter.com/ChimpReports/status/1154002286915592193\xa0\u2026, ssebunya shafique added,]"
[\nJul 24\n],Sir Arthur,[Come 2021 me I want Bobi Wine to be on the ballot paper. At least we all know that\u2019s better than Besigye wasting space &amp; ink on there. He has had enough chances. Time to give others the mantle to see how difficult it is to win a Presidential election.]
[\nJul 24\n],ChimpReports,"['Museveni Underestimated Us,' Says Bobi Wine While Launching Nationwide Mobilization Team\r\n#BobiWine #featured https://chimpreports.com/museveni-underestimated-us-says-bobi-wine-while-launching-nationwide-mobilization-team/\xa0\u2026pic.twitter.com/C2kMcoVAgH]"
[\nJul 24\n],@AaronAinomugisha,[Bobi Wine has the Strongest team.\r\n@JoelSsenyonyi wenyweze.pic.twitter.com/Ag7YSLNaO2]
[\nJul 24\n],@AaronAinomugisha,"[Ghetto President Bobi Wine Vs President Museveni come 2021: People Power Unveils regional and district leaders,coordinators ahead of 2021 general\xa0elections. http://rapug.home.blog/2019/07/24/ghetto-president-bobi-wine-vs-president-museveni-come-2021-people-power-unveils-regional-and-district-leaderscoordinators-ahead-of-2021-general-elections/\xa0\u2026]"
[\nJul 23\n],Nasser Kaaya  🇺🇬,"[No. What is relevant to you is maligning Bobiwine and i understand because it's what puts food on your table. Also as you bootlick the old man, please tell him that a good number of hospitals do not have neonatal intensive care units for babies. Owulidde?]"
[\nJul 21\n],Kiggundu Joseph Dash,[Bobi wine is the uganda's most admired politician in Uganda https://twitter.com/FT/status/1152936295028731904\xa0\u2026pic.twitter.com/jL1D7U4tnR]
[\nJul 21\n],Nuwagaba Molly,[#KyagulanyiRobert_Ssentamu AKA Bobi Wine for president 2021 pic.twitter.com/ts0DC9FFkj]
[\nJul 20\n],@AaronAinomugisha,"[Kyadondo East MP has maintained that he is ready to challenge President @KagutaMuseveni come 2021,Asks people to stand strong for change.\r\n'Your National ID is Your Gun,'- Bobi Wine @HEBobiwine in Gulu.pic.twitter.com/9Be57tevzw]"
[\nJul 18\n],NBS Television,"[Kiggundu: This entire ""thing"" began when President Museveni brought his family into the limelight. If Muhoozi has presidential ambitions, people have a right to criticize him just like Bobi Wine. \r\n\r\n#NBSMorningBreeze #NBSUpdates]"
