DATES,TITLE ARTICLE,ARTICLE CONTENT
        Added 15th March 2019 03:51 PM       ,"Stick to singing, Museveni tells Bobi Wine",			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496657157715-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });			
         Added 14th January 2019 12:12 PM        ,Stars unite for King Saha&#39;s concert,"				Jose Chameleone, Bobi Wine, Ragga Dee &amp; Jackie Chandiru were among the musicians that showed support at the Biri Biri concert			"
        Added 19th April 2019 11:04 AM       ,Police clears Bobi Wine concert,"						 MP, Robert Kyagulanyi aka Bobi Wine (File Photo)					According to Asuman Mugenyi, the head of police operations, the show at One Love Beach Bussabala has been allowed to take place following an agreement with the organisers on specific guidelines.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		KAMPALA-Police has cleared the planned Easter Monday show organised by Kyadondo East MP, Robert Kyagulanyi aka Bobi Wine.According to Asuman Mugenyi, the head of police operations, the show at One Love Beach Bussabala has been allowed to take place following an agreement with the organisers on specific guidelines.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });		Failure to follow the agreed guidelines, Mugenyi said, police will automatically revoke the clearance.“The shows must strictly not be political or politically motivated in nature and must be done in the environment of law and order.""Police will not hesitate to stop any of these functions at any time, even if the other authorities have okayed the same, if they breach any of the above guidelines,” Mugenyi said in a letter to the organisers, dated April 15.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });						googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674790852-0'); });			The key requirements from the organsiers, Mugenyi said, include, a detailed programme, lists of performers, expected number of revellers, proposed traffic management plan and crowd control measures, among other things.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });									googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674874561-0'); });					"
        Added 25th March 2019 10:27 AM       ,Bobi Wine joins Wadri for victory party,			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496657157715-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });			
        Added 30th April 2019 09:49 AM       ,Why Bobi Wine was sent to Luzira Prison,			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496657157715-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });			
         Added 30th May 2019 04:58 PM        ,Opposition bigwig meet in Jinja,				Opposition bigwig meet in Jinja			
        Added 15th July 2019 03:42 PM       ,Events promoter wanted for unlawful events,"Close friends say Thomas disappeared since May and no one knows his whereabouts.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		Events promoter and social media blogger is wanted for unlawful events promoting and inciting violence through music platforms. The events are believed to have aimed at hosting and promoting Robert Kyagulanyi (Bobi Wine’s) music.Thomas Babumba, the Director of Ultimate Events, who is also a supporter of the People Power political outfit ignored the directives of Assistant Inspector General of Police, Assuman Mugenyi.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });		Mugenyi had directed the Police to block all planned music concerts by Kyaddondo East Member of Parliament, Robert Kyagulanyi a.k.a Bobi Wine.Thomas wrote: “I have no intentions to incite violence of any kind, I’m a lover of music and also a fun of Bobi Wine.  As a creator, I thought it would be outstanding blending Bobi Wine’s music with an underground touch. Where’s the freedom? What’s the crime in hosting a music genius and a future President?”The Police says Thomas’s brand was announcing a People Power concert and Marathon without proper authorisation, which is against the law.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });						googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674790852-0'); });			The Police also added that he posted several videos that were inciting violence and had a plan of illegally removing President Yoweri Museveni from power.Thomas defended himself in one of his posts: “My aim was to collect money to support Bobi Wine, and orphans whose parents have died during this period.”Close friends say Thomas disappeared since May and no one knows his whereabouts.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });									googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674874561-0'); });					"
        Added 10th January 2019 04:43 PM       ,"Bobi Wine, co-accused appear in court","The accused were arrested in August last year, on allegations that they were involved in the election-related fracas in Arua that resulted into damage on a vehicle in the Presidential motorcade.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		BOBI WINE    GULU  TRIALGulu grade one magistrate, Isaac Imoran Kintu, has adjourned hearing of the treason case against Kyadondo East MP, Robert Ssentamu Kyagulanyi, and co-accused to March 19, 2019			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });		This was after prosecution told court that investigations into the matter were still ongoingKyagulanyi, popularly known as Bobi Wine together with Arua Municipality MP and 32 others, today appeared before the Gulu Grade One magistrateThe accused were arrested in August last year, on allegations that they were involved in the election-related fracas in Arua that resulted into damage on a vehicle in the Presidential motorcade.Kassiano Wadri  told court that he lost a pair of shoes, sh85m two phone handsets.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });		Meanwhile, Robert Kyagulanyi Ssentamu, also told court he lost his wedding ring, golden wrist, sh3.5m, $600 and two phone handsets.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674790852-0'); });			In his ruling, Kintu, re-directed that Arua and Gulu Police Criminal Investigation Directorate (CID) officer’s  appear in court in the next appearing, to explain the whereabouts of the itemsEarlier Komakech Kilama, a defense council told court, the plan to summon the two officers was started in October 2018 under Yunus Ndi-walana, the grade one magistrate, but has never been effected which was described as contempt of court.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });									googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674874561-0'); });					"
        Added 19th March 2019 01:04 PM       ,Why Museveni will win come 2021,"What makes the NRM win? First, people vote for programmes.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		By Moses ByaruhangaTwo weeks ago the New Vision published my article titled Bobi Wine is the best thing to have happened to NRM. I pointed out that those who say that Museveni will loose the 2021 elections because in 2016 many people did not vote were not basing their analysis on facts. In 2016, 67% of the registered voters voted.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });		I also pointed out that Bobi Wine will be sharing the same supporters with Dr Kiiza Besigye, hence, the title of the said article that Bobi Wine is the best thing to have happened to NRM. I have since heard that some of the supporters of Bobi Wine attacked Dr Besigye when he was coming from a radio station.Over the weekend, I watched a clip where Dr Besigye was being asked if he supported Bobi Wine. In short Dr Besigye’s response was that there was nothing on which he would base his support to Bobi Wine because he had not come up with a rallying idea. This is a common problem with the opposition in Uganda. They come up with a common agenda that Museveni’s ‘agenda’ but they don’t offer their policies.Who is supporting Bobi Wine now? The very people who didn’t support Museveni in 2016 are the ones who support Bobi Wine. Today Bobi Wine is sharing them with Besigye and Gen. Muntu. If they were not a majority in 2016 what will make them a majority in 2021? One opposition MP told me that Bobi Wine was not electable material for the President, notwithstanding any following he has.This hype is not new. In 2015, I recall talking to a gentleman who was convinced that Amama Mbabazi was going to win. I told him that it was impossible for Amama to win. After the elections, I met him again and he said I was right in my analysis. When Bobi declared that he was ready for 2021, one would have expected the issues he will be addressing. I have heard those who say that after all we have had Amin before, surely, should we get another Amin?			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });		Those who want to please themselves that this time they can defeat Museveni say that many new people have registered and they assume that the new people on the register will vote for Bobi Wine. Well, the facts are that in 2016, the voters’ register had 15 million voters. Out of these, 67% or 10 million voted and President Museveni obtained 5.9 million votes and Besigye had 3.5 million votes. President Museveni beat Dr Besigye with 2.4 million votes.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674790852-0'); });			As of today, the register has 17 million voters. Many people registered when it became compulsory that in order to register a phone, one had to have a National ID. Also, during the verification of public servants and pensioners, it was mandatory that one had to have an ID. So are all the new people on the register Bobi Wine supporters? The answer is No. These will be shared out among all the candidates.Out of the 17 million voters, if we have a 70% turn-up in 2021 that means 12 million voters will vote. In order to get 51% which is required for one to be declared a winner in Uganda’s Presidential elections, one needs 6,120,000 of the 12 million voters if 70% of the 17 million voters vote. Assuming that the 5.9 million voters that voted for President Museveni stay intact with him, he will need an additional 220,000 new voters for a simple win. For a comfortable win of at least 60%, he will need 7,200,000 of the 12m. This means he will need an additional 1.3 million votes.On the other hand, with the opposition’s 3.6 million including those who voted for Mr Amama Mbabazi, this being the starting point for the opposition, they will need 2.5 million votes to get a 51% win. If they are to aim at a 60% win, they will need an additional 3.6 million votes.I have used assumptions above but they are useful for any political analysis. It is clear that even if all the new voters on the register were to vote for the opposition, they still wouldn’t win. For them to win, NRM must lose a lot of supporters to the opposition. On the other hand, the NRM needs to mobilize a few new supporters for it to win. This is a simpler task. What the NRM has to do is to consolidate its support and win over a few others.What makes the NRM win? First, people vote for programmes. With the focus on the development of infrastructure i.e, roads and power generation and extension, the NRM that has been responsible for these programmes will get votes across the board whether Youth or older people. So those who argue that the youth will vote against President Museveni are simply misplaced. Yes, some will vote against him but many will vote for him. The youth and the others will vote for the programmes President Museveni has carried out and the new ones he will be promising. This is the reason President Museveni has been winning all along.Coupled with the above, is the organizational structure of the NRM. Out of 70,000 villages, the NRM has 30 leaders per village. This translates into 2.1 million voters. These have their own families who vote with them. You have the village Councils, Women Councils, Youth Councils and PWD. In all these, the NRM always has a majority. It will be a hard task for Bobi Wine or anyone in the opposition to have such organizational machinery like the NRM.At other levels, you have Councillors at Sub-county level and District level together with Sub-county Chairpersons and District Chairpersons. The NRM has about 80% of all the Councillors and Chairpersons above. These while campaigning for themselves also campaign for the NRM Presidential Candidate. They even put in their personal resources. At the National level, you have the MPs, 70% of whom are NRM. These will be campaigning for themselves and the NRM Presidential Candidate.It is impossible for the opposition or Bobi Wine for that matter to beat President Museveni come 2021.The writer is a senior presidential adviser on political affairs				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });									googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674874561-0'); });					"
        Added 22nd April 2019 02:53 PM       ,Bobi Wine detained,"						Bobi Wine after he was put into a Police van after he was extracted from his car. Photo by Ashraf Kasirye					His attempt to reach the venue on the shores of Lake Victoria, flanked by dozens of supporters, was blocked by the Police			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		Police detained Kyadondo East MP Robert Kyagulanyi on Monday after shutting down his Kyarenga concert.""He has been arrested in Busabala, where he was to address the media on the cancellation of his concert by the Police,"" Kyagulanyi's wife Barbie Itungo Kyagulanyi told AFP.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });		Police spokesman Fred Enanga confirmed that officers ""engaged him earlier and drove him away from Busabala"" but would not say if he was formally arrested.Kyagulanyi also known by his stage name Bobi Wine, was scheduled to perform on Easter Monday but the show was cancelled by the Police on Sunday.Field Force Unit Police surrounding Bobi Wine's car after he defied orders not to proceed to his One Love Beach in Busaabala, Wakiso district. Photo by Ashraf Kasirye His attempt to reach the venue on the shores of Lake Victoria, flanked by dozens of supporters, was blocked by the Police who fired tear gas and water cannon at his convoy.Before being detained, Bobi Wine posted on Twitter that the Police were trying to tow the singer's car away.""People teargassed, beaten, Many arrested. We shall overcome...Stand firm,"" he wrote.Later, a post on his Twitter account signed ""admin"" said the singer had been ""violently arrested"".Police said the concert was cancelled because inadequate safety measures were put in place.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496657157715-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });									googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674874561-0'); });					"
