DATES,SENDER,ARTICLE CONTENT,SENTIMENT
[\nJul 21\n],Financial Times,[Bobi Wine takes on Uganda's ageing dictator https://on.ft.com/32Gk93S\xa0],0.0
[\nJul 24\n],AFP news agency,[VIDEO:  Ugandan pop star turned leading opposition figure #BobiWine officially announces he will take on veteran President Yoweri Museveni in the 2021 national elections pic.twitter.com/bHiyuaCBb6],0.0
[\nJul 27\n],BOBI WINE,[Uganda Mathematics Society (UMS) celebrated their 46th Annual National Mathematics bonanza today. More than 120 primary and secondary schools from all over Uganda participated and @BarbieKitungo was the Chief Guest. She is thrilled that girls participated in big numbers.pic.twitter.com/phL2yPlo4j],0.2583333333333333
[\nJul 25\n],Maamaafrica Stephie Kisha 🇺🇬,[Always remember that this country is bigger than all of us#i vote for His Excellence Robert kyagulanyi aka Bobiwine \nPeople power our power  pic.twitter.com/o5pE6SGYpx],0.0
[\nJul 24\n],BBC News Africa,[What are the most pressing issues right now in Uganda? Musician and politician Bobi Wine announces he will run as president in Uganda's 2021 elections. Send a voice message with your views to Focus on Africa's WhatsApp +447711388203 pic.twitter.com/0p9aQXeunf],0.39285714285714285
[\nJul 24\n],Arab News,"[Singer turned politician Robert Kyagulanyi, also known as #BobiWine, has announced his candidacy for the Ugandan presidency #Uganda http://bit.ly/2JMY0ZY\xa0pic.twitter.com/HIh5b55eC0]",0.0
[\nJul 27\n],BOBI WINE,[Thank you 'first lady' for representing the future.\n#FunaNdagamuntupic.twitter.com/MRHMQFnAoV],0.25
[\nJul 24\n],Daily Nation,[Uganda's popstar MP Bobi Wine to contest 2021 presidential vote http://bit.ly/2ZjP3g0\xa0],0.0
[\nJul 24\n],Al Jazeera News,[Bobi Wine formally declares presidential bid for 2021 Uganda vote https://aje.io/u7cnd\xa0pic.twitter.com/VWl12dcVjJ],0.0
[\nJul 24\n],AFP news agency,[#BREAKING Ugandan pop star MP Bobi Wine announces 2021 presidential election run pic.twitter.com/pIx2ME6v9C],0.0
[\nJul 24\n],BBC News (World),[Ugandan pop star Bobi Wine to run against Yoweri Museveni https://bbc.in/2YefKBM\xa0],0.0
[\nJul 24\n],UGANDA CHANNEL#PEOPLEPOWER_OURPOWER,"[#BobiWine thank you to be the voice of very many voiceless because We want leader like you, not in love with money, not greedy, not selfish but in love with Justice. Not in love with publicity but in love with Humanity. Come 2021 \n#peoplepower_OurPower\n#GetNationalpic.twitter.com/nxL7xjE5mw]",0.48333333333333334
[\nJul 24\n],Sonia Wa Bobi,"[I will lead the struggle and never betray the people, I'm standing as president in 2021\n#BobiWine.\n#people power our power\n@EKayabula @ekyooto @Joystrong01 @NalwangaAgnes2 @eddie_mutwe @JoelSsenyonyi @kibirigemuzafa @IAmSegawa @robertamsterdam @AJENews @BBCWorld @NBCNews @cnnbrkpic.twitter.com/hgr6cpGn5C]",0.0
[\nJul 24\n],Joyce Bagala,[Kyadondo East lawmaker Robert Kyagulanyi Ssentamu aka Bobi Wine unveils the People Power movement mobilization team ahead of the 2021 presidential polls.\n\nThe musician turned politician recently announced his intentions to challenge President Yoweri Museveni @nbstv #PeoplePowerpic.twitter.com/vLxomp6ZOR],0.0
[\nJul 24\n],MUNASSINGO WA BOBI,"[Words of my president H.E Bobi Wine\n\n""I look at myself as the most unqualified 'politician'. However, I take comfort in the knowledge that God doesn't choose the qualified, but, rather, qualifies the chosen. You, fellow comrades, are my qualifications."" - Hon. Bobi Kyagulanyi pic.twitter.com/Zxp4r5oPfe]",0.5
[\nJul 24\n],The Star Breaking,[UGANDAN pop star and opposition MP Bobi Wine officially announces he will run for president in the 2021 election. pic.twitter.com/DUvRZEHqWt],0.0
[\nJul 24\n],Citizen TV Kenya,[Bobi Wine officially declares bid to challenge Museveni for Uganda presidency https://citizentv.co.ke/news/bobi-wine-officially-declares-bid-to-challenge-museveni-for-uganda-presidency-265719/\xa0\u2026],0.0
[\nJul 24\n],NZE_NSEKANABASSI,"[Kyadondo East member of Parliament and #PeoplePower proprietor Robert Sentamu Kyagulanyi ""BOBIWINE"" set to announce his pressure group's heads in districts in a presser at his Magere Home following frustrations by police in all places he had planned to host the presser. pic.twitter.com/FwYyBxni9M]",0.0
[\nJul 24\n],Moseax  🇰🇪,[Bobi Wine's problems are about to Explode!\nAll the best sir!\n\nBobi wine to run for Presidency against Museveni pic.twitter.com/hzRFHcg2JA],1.0
[\nJul 24\n],EKYOOTO,[Bobi wine confirms he is ready to challenge Museveni come 2021 https://ekyooto.com/2019/07/24/bobi-wine-confirms-he-is-ready-to-challenge-museveni-come-2021/\xa0\u2026],0.2
[\nJul 24\n],Al Jazeera English,"[Pop star-turned-opposition leader, Bobi Wine, declares 2021 Ugandan presidential bid. pic.twitter.com/rAxUiykUHM]",0.0
[\nJul 24\n],#CanaryReports,[People Power say they won\u2019t mention hotels that rejected to host their presser bse they don\u2019t want to create an economic sabotage on them. Political observers say Bobi Wine showed signs of personalization of institutions as he declared his presidential bid from his compound. pic.twitter.com/RIpXvZcDzY],0.1
[\nJul 24\n],HON JEREMY MBABU,"[Bobi Wine ,a man with a vision for my generation.A man ready to liberate Uganda.A man who has not left the ghetto but has worked so hard to make the ghetto a better place .\nBobi Wine will be my president in 2021\n\n#PeoplePower\n#cabinetreshufflepic.twitter.com/VeYkho1gLv]",0.10208333333333333
[\nJul 24\n],NTV Kenya,"['On behalf of the people of Uganda I am challenging you (Museveni) to a free and fair election in 2021,' Bobi Wine announces he will take on Museveni in 2021 \n\nhttp://bit.ly/2ZjP3g0\xa0pic.twitter.com/k7IUMM6C7s]",0.5333333333333333
[\nJul 21\n],Ssesangaismael Freeman,[This is the reason why I like you #bobi wine my next presidentpic.twitter.com/ZND1FmtNKq],0.0
[\nJul 24\n],BBC News Africa,[Ugandan pop star Bobi Wine to run against Yoweri Museveni https://bbc.in/2XXHbnY\xa0pic.twitter.com/oTIb4Mw3GV],0.0
[\nJul 22\n],Kiggundu Martin,[Ssebo Mr President @Robert_Kyagulanyi @Ssentamu (Bobiwine)We are just waiting for #VOTING date. we are crying for Presidential change in leadership of the Republic of Uganda.pic.twitter.com/rZSUoaqbkF],-0.2
[\nJul 22\n],Yassin Mwanje,[I call him Mr President\n#2021_is_our_year\n#BOBIWINE_OUR_PRESIDENTpic.twitter.com/Q7x367j3z2],0.0
[\n20h20 hours ago\n],Next Door Muslim,[A church in Rukungiri invited and hosted the 10th President of Uganda Bobi Wine for a service but Kampala hoteliers couldn't let him hold a presser in their hotels?\nThose church leaders are amazing!],0.7500000000000001
[\nJul 24\n],Jeffrey Smith,"[\u201cPresident Museveni and his praise singers dismissed us as inconsequential. The people of #Uganda ... continue to prove them wrong.\u201d\n\nProud of my friend @HEBobiwine. Now that he's officially thrown his hat into the ring, authorities must ensure his safetyhttps://www.apnews.com/395e6a7644ab423d9dc1207c57eeee10\xa0\u2026]",0.0
[\nJul 24\n],Noah Ross,[Ugandan pop star-turned-policitian Bobi Wine says he's running for president - CNN http://dlvr.it/R925Mj\xa0pic.twitter.com/iGsjS8dQXn],0.0
[\nJul 22\n],SSEMPIJJA GODFREY,[You are the truth and we truly behind you because you are fighting not to be better than your people but you are fighting to be better with all your people \n#UGANDANS_WE_BELIEVE_IN_BOBIWINE_2021_TELI_KUZIKIZA M7 MUST GOpic.twitter.com/2R2dmuAh3z],0.19999999999999998
